id,image,description,category,issue_type,severity,latitude,longitude
POT-001,POT_001.jpeg,Road surface has numerous potholes and broken patches along a long stretch.,road,pothole,high,26.138406,91.763154
POT-002,POT_002.jpeg,A localized pothole is visible in the road surface with loose broken asphalt around it.,road,pothole,medium,26.19487,91.69944
POT-003,POT_003.jpeg,"Several water-filled potholes are visible across the lane, making the road surface uneven.",road,pothole,medium,26.155776,91.713791
POT-005,POT_005.jpeg,A deep pothole with a broken edge is visible on the active roadway.,road,pothole,medium,26.176518,91.720438
POT-006,POT_006.jpeg,A moderate pothole is visible near the edge of the residential road.,road,pothole,medium,26.182677,91.754835
POT-007,POT_007.jpeg,"A deep, wide pothole is visible on a wet roadway beside moving traffic.",road,pothole,high,26.129998,91.681635
POT-009,POT_009.jpeg,Large water-filled potholes have damaged a section of the roadway.,road,pothole,high,26.199015,91.778244
POT-010,POT_010.jpeg,Several shallow potholes and patched areas are visible across the road surface.,road,pothole,medium,26.18581,91.818981
BD-001,BD_001.jpeg,An open roadside drain contains a large accumulation of garbage and debris.,drainage,blocked_drain,high,26.180264,91.698329
BD-002,BD_002.jpeg,Leaves and organic debris are covering the drain grate and restricting the opening.,drainage,blocked_drain,medium,26.165294,91.812225
BD-003,BD_003.jpeg,The drain grate is heavily covered with leaves and small debris.,drainage,blocked_drain,medium,26.126268,91.73109
BD-004,BD_004.jpeg,Water is standing around a partially obstructed roadside drain opening.,drainage,blocked_drain,medium,26.172044,91.701816
BD-006,BD_006.jpeg,Garbage and debris are lodged inside a small roadside drain inlet.,drainage,blocked_drain,medium,26.146035,91.668758
BD-007,BD_007.jpeg,Standing water is visible at a drain grate with debris around the opening.,drainage,blocked_drain,medium,26.194117,91.701809
BD-008,BD_008.jpeg,"Drain grates and loose debris are scattered beside the drainage channel, obstructing the inlet area.",drainage,blocked_drain,medium,26.13483,91.780014
BD-010,BD_010.jpeg,Leaves and debris are covering a curbside drainage opening.,drainage,blocked_drain,low,26.114449,91.783013
BD-011,BD_011.jpeg,A drainage opening is filled with accumulated waste while a worker is clearing the obstruction.,drainage,blocked_drain,high,26.128104,91.740973
OD-001,OD_001.jpeg,A long uncovered drainage channel runs through a dense roadside area.,drainage,open_drain,high,26.188691,91.73921
OD-002,OD_002.jpeg,A deep open drain beside the pavement has broken and displaced concrete slabs.,drainage,open_drain,high,26.127642,91.812008
OD-004,OD_004.jpeg,An open drainage channel carries water beside a commercial roadside area.,drainage,open_drain,high,26.108415,91.667935
OD-005,OD_005.jpeg,A long uncovered drain runs alongside a residential street.,drainage,open_drain,medium,26.198818,91.675729
OD-006,OD_006.jpeg,An uncovered concrete drain contains visible garbage and stagnant water.,drainage,open_drain,medium,26.130604,91.81896
OD-008,OD_008.jpeg,A deep uncovered drain runs directly beside a pedestrian walkway.,drainage,open_drain,critical,26.179269,91.782845
OD-009,OD_009.jpeg,An uncovered roadside drain carries water beside a paved pedestrian area.,drainage,open_drain,low,26.107479,91.677437
OD-010,OD_010.jpeg,A narrow open drain is visible along the edge of a roadside walkway.,drainage,open_drain,medium,26.128728,91.744463
GO-002,GO_002.jpeg,A waste container is surrounded by a large amount of accumulated garbage.,waste_management,garbage_overflow,medium,26.178593,91.734336
GO-004,GO_004.jpeg,Plastic and household waste is overflowing around a roadside garbage bin.,waste_management,garbage_overflow,medium,26.128435,91.726548
GO-005,GO_005.jpeg,A small amount of waste is spilling over the rim of a garbage bin.,waste_management,garbage_overflow,low,26.135308,91.708072
GO-006,GO_006.jpeg,Loose garbage is scattered around a public waste bin.,waste_management,garbage_overflow,low,26.202359,91.69825
